course,group,subgroup,day,time,week_type,subject
1 курс,1 группа,1,Вторник,11:30-13:05,Числитель,Архитектура ЭВМ доц. Ветохин В.В. 295
1 курс,1 группа,1,Вторник,11:30-13:05,Знаменатель,Архитектура ЭВМ доц. Ветохин В.В. 295
1 курс,1 группа,1,Вторник,13:25-15:00,Числитель,Математический анализ доц. Некрасова Н.Н. 307П
1 курс,1 группа,1,Вторник,13:25-15:00,Знаменатель,Математический анализ доц. Некрасова Н.Н. 307П
1 курс,1 группа,1,Вторник,15:10-16:45,Числитель,Физическая культура и спорт
1 курс,1 группа,1,Вторник,15:10-16:45,Знаменатель,Физическая культура и спорт
1 курс,1 группа,1,Вторник,9:45 - 11:20,Числитель,АиСД ст.преп. Нужных А.В. 385
1 курс,1 группа,1,Понедельник,11:30-13:05,Числитель,Дискретная математика доц. Попов М.И. 477
1 курс,1 группа,1,Понедельник,11:30-13:05,Знаменатель,Алгебра и геометрия доц. Чуракова Т.А. 477
1 курс,1 группа,1,Понедельник,13:25-15:00,Числитель,Алгебра и геометрия доц. Чуракова Т.А. 477
1 курс,1 группа,1,Понедельник,13:25-15:00,Знаменатель,Алгебра и геометрия доц. Чуракова Т.А. 477
1 курс,1 группа,1,Понедельник,16:55-18:30,Числитель,Ин.яз. преп. Семенов В.П. 309П
1 курс,1 группа,1,Понедельник,9:45 - 11:20,Числитель,История России доц. Лавлинский С.А. 292
1 курс,1 группа,1,Понедельник,9:45 - 11:20,Знаменатель,История России доц. Лавлинский С.А. 292
1 курс,1 группа,1,Пятница,11:30-13:05,Числитель,Дискретная математика доц. Попов М.И. 307П
1 курс,1 группа,1,Пятница,11:30-13:05,Знаменатель,Web-техн. ст.преп. Ермаков М.В. 387
1 курс,1 группа,1,Пятница,13:25-15:00,Знаменатель,Ин.яз. преп. Семенов В.П. 301П
1 курс,1 группа,1,Пятница,8:00 - 9:35,Числитель,Математический анализ доц. Сирота Е.А. 477
